"year","trimes","tmin","tmax","area","hke","rest"
1993,4,10,14,"8c",0.032,0.968
1994,4,10,14,"8c",0.042,0.958
1995,4,10,14,"8c",0.033,0.967
1996,4,10,14,"8c",0.019,0.981
1997,4,10,14,"8c",0.035,0.965
1998,4,10,14,"8c",0,1
1999,4,10,14,"8c",0,1
2000,4,10,14,"8c",0.002,0.998
2001,4,10,14,"8c",0,1
2002,4,10,14,"8c",0.027,0.973
2003,4,10,14,"8c",0.062,0.938
2004,4,10,14,"8c",0.026,0.974
2005,4,10,14,"8c",0,1
2006,4,10,14,"8c",0.133,0.867
2007,4,10,14,"8c",0.015,0.985
2008,4,10,14,"8c",0.013,0.987
2009,4,10,14,"8c",0.127,0.873
2010,4,10,14,"8c",0.015,0.985
2011,4,10,14,"8c",0,1
2012,4,10,14,"8c",0.097,0.903
2013,4,10,14,"8c",0,1
2014,4,10,14,"8c",0,1
2015,4,10,14,"8c",0.032,0.968
2016,4,10,14,"8c",0.036,0.964
2017,4,10,14,"8c",0,1
2018,4,10,14,"8c",0,1
2019,4,10,14,"8c",0.013,0.987
1993,4,15,19,"8c",0.068,0.932
1994,4,15,19,"8c",0.105,0.895
1995,4,15,19,"8c",0.014,0.986
1996,4,15,19,"8c",0.129,0.871
1997,4,15,19,"8c",0.07,0.93
1998,4,15,19,"8c",0,1
1999,4,15,19,"8c",0,1
2000,4,15,19,"8c",0.013,0.987
2001,4,15,19,"8c",0.041,0.959
2002,4,15,19,"8c",0.092,0.908
2003,4,15,19,"8c",0.138,0.862
2004,4,15,19,"8c",0.06,0.94
2005,4,15,19,"8c",0.117,0.883
2006,4,15,19,"8c",0.169,0.831
2007,4,15,19,"8c",0.154,0.846
2008,4,15,19,"8c",0.113,0.887
2009,4,15,19,"8c",0.105,0.895
2010,4,15,19,"8c",0.012,0.988
2011,4,15,19,"8c",0.096,0.904
2012,4,15,19,"8c",0.11,0.89
2013,4,15,19,"8c",0.008,0.992
2014,4,15,19,"8c",0.118,0.882
2015,4,15,19,"8c",0.082,0.918
2016,4,15,19,"8c",0.011,0.989
2017,4,15,19,"8c",0.014,0.986
2018,4,15,19,"8c",0,1
2019,4,15,19,"8c",0,1
1993,4,20,24,"8c",0.173,0.827
1994,4,20,24,"8c",0.052,0.948
1995,4,20,24,"8c",0,1
1996,4,20,24,"8c",0.032,0.968
1997,4,20,24,"8c",0.046,0.954
1998,4,20,24,"8c",0.027,0.973
1999,4,20,24,"8c",0,1
2000,4,20,24,"8c",0,1
2001,4,20,24,"8c",0.019,0.981
2002,4,20,24,"8c",0.024,0.976
2003,4,20,24,"8c",0,1
2004,4,20,24,"8c",0.235,0.765
2005,4,20,24,"8c",0.143,0.857
2006,4,20,24,"8c",0.117,0.883
2007,4,20,24,"8c",0.105,0.895
2008,4,20,24,"8c",0.252,0.748
2009,4,20,24,"8c",0.006,0.994
2010,4,20,24,"8c",0.047,0.953
2011,4,20,24,"8c",0.225,0.775
2012,4,20,24,"8c",0.08,0.92
2013,4,20,24,"8c",0.123,0.877
2014,4,20,24,"8c",0.002,0.998
2015,4,20,24,"8c",0.05,0.95
2016,4,20,24,"8c",0.02,0.98
2017,4,20,24,"8c",0.033,0.967
2018,4,20,24,"8c",0.066,0.934
2019,4,20,24,"8c",0,1
1993,4,25,29,"8c",0,1
1994,4,25,29,"8c",0,1
1995,4,25,29,"8c",0,1
1996,4,25,29,"8c",0,1
1997,4,25,29,"8c",0.085,0.915
1998,4,25,29,"8c",0.051,0.949
1999,4,25,29,"8c",0,1
2000,4,25,29,"8c",0.003,0.997
2001,4,25,29,"8c",0,1
2002,4,25,29,"8c",0,1
2003,4,25,29,"8c",0,1
2004,4,25,29,"8c",0.152,0.848
2005,4,25,29,"8c",0.061,0.939
2006,4,25,29,"8c",0.055,0.945
2007,4,25,29,"8c",0.043,0.957
2008,4,25,29,"8c",0.425,0.575
2009,4,25,29,"8c",0.04,0.96
2010,4,25,29,"8c",0.003,0.997
2011,4,25,29,"8c",0.101,0.899
2012,4,25,29,"8c",0.206,0.794
2013,4,25,29,"8c",0,1
2014,4,25,29,"8c",0.077,0.923
2015,4,25,29,"8c",0.065,0.935
2016,4,25,29,"8c",0.005,0.995
2017,4,25,29,"8c",0.006,0.994
2018,4,25,29,"8c",0.027,0.973
2019,4,25,29,"8c",0.042,0.958
1993,4,30,34,"8c",0.026,0.974
1994,4,30,34,"8c",0,1
1995,4,30,34,"8c",0,1
1996,4,30,34,"8c",0,1
1997,4,30,34,"8c",0.26,0.74
1998,4,30,34,"8c",0.012,0.988
1999,4,30,34,"8c",0.009,0.991
2000,4,30,34,"8c",0.019,0.981
2001,4,30,34,"8c",0,1
2002,4,30,34,"8c",0,1
2003,4,30,34,"8c",0.019,0.981
2004,4,30,34,"8c",0.089,0.911
2005,4,30,34,"8c",0.021,0.979
2006,4,30,34,"8c",0.04,0.96
2007,4,30,34,"8c",0.05,0.95
2008,4,30,34,"8c",0.353,0.647
2009,4,30,34,"8c",0.015,0.985
2010,4,30,34,"8c",0.011,0.989
2011,4,30,34,"8c",0.091,0.909
2012,4,30,34,"8c",0.126,0.874
2013,4,30,34,"8c",0.022,0.978
2014,4,30,34,"8c",0.018,0.982
2015,4,30,34,"8c",0.002,0.998
2016,4,30,34,"8c",0.015,0.985
2017,4,30,34,"8c",0.072,0.928
2018,4,30,34,"8c",0.015,0.985
2019,4,30,34,"8c",0.004,0.996
1993,4,35,39,"8c",0,1
1994,4,35,39,"8c",0.011,0.989
1995,4,35,39,"8c",0,1
1996,4,35,39,"8c",0.055,0.945
1997,4,35,39,"8c",0.047,0.953
1998,4,35,39,"8c",0,1
1999,4,35,39,"8c",0,1
2000,4,35,39,"8c",0.023,0.977
2001,4,35,39,"8c",0.055,0.945
2002,4,35,39,"8c",0.011,0.989
2003,4,35,39,"8c",0,1
2004,4,35,39,"8c",0.201,0.799
2005,4,35,39,"8c",0.042,0.958
2006,4,35,39,"8c",0.015,0.985
2007,4,35,39,"8c",0,1
2008,4,35,39,"8c",0.277,0.723
2009,4,35,39,"8c",0.004,0.996
2010,4,35,39,"8c",0.054,0.946
2011,4,35,39,"8c",0,1
2012,4,35,39,"8c",0.091,0.909
2013,4,35,39,"8c",0.048,0.952
2014,4,35,39,"8c",0.025,0.975
2015,4,35,39,"8c",0.001,0.999
2016,4,35,39,"8c",0,1
2017,4,35,39,"8c",0.23,0.77
2018,4,35,39,"8c",0,1
2019,4,35,39,"8c",0.13,0.87
1993,4,40,44,"8c",0.054,0.946
1994,4,40,44,"8c",0,1
1995,4,40,44,"8c",0,1
1996,4,40,44,"8c",0,1
1997,4,40,44,"8c",0.077,0.923
1998,4,40,44,"8c",0,1
1999,4,40,44,"8c",0,1
2000,4,40,44,"8c",0.034,0.966
2001,4,40,44,"8c",0,1
2002,4,40,44,"8c",0.02,0.98
2003,4,40,44,"8c",0,1
2004,4,40,44,"8c",0.147,0.853
2005,4,40,44,"8c",0,1
2006,4,40,44,"8c",0,1
2007,4,40,44,"8c",0.038,0.962
2008,4,40,44,"8c",0.302,0.698
2009,4,40,44,"8c",0.003,0.997
2010,4,40,44,"8c",0,1
2011,4,40,44,"8c",0.131,0.869
2012,4,40,44,"8c",0,1
2013,4,40,44,"8c",0.275,0.725
2014,4,40,44,"8c",0,1
2015,4,40,44,"8c",0,1
2016,4,40,44,"8c",0,1
2017,4,40,44,"8c",0.429,0.571
2018,4,40,44,"8c",0,1
2019,4,40,44,"8c",0.401,0.599
1993,4,45,49,"8c",0,1
1994,4,45,49,"8c",0,1
1995,4,45,49,"8c",0,1
1996,4,45,49,"8c",0,1
1997,4,45,49,"8c",NA,NA
1998,4,45,49,"8c",0,1
1999,4,45,49,"8c",0,1
2000,4,45,49,"8c",0,1
2001,4,45,49,"8c",0.297,0.703
2002,4,45,49,"8c",0,1
2003,4,45,49,"8c",0,1
2004,4,45,49,"8c",0.649,0.351
2005,4,45,49,"8c",0,1
2006,4,45,49,"8c",0.053,0.947
2007,4,45,49,"8c",0,1
2008,4,45,49,"8c",0,1
2009,4,45,49,"8c",0,1
2010,4,45,49,"8c",0.202,0.798
2011,4,45,49,"8c",0.334,0.666
2012,4,45,49,"8c",0,1
2013,4,45,49,"8c",0,1
2014,4,45,49,"8c",0,1
2015,4,45,49,"8c",0,1
2016,4,45,49,"8c",0.565,0.435
2017,4,45,49,"8c",0,1
2018,4,45,49,"8c",0,1
2019,4,45,49,"8c",0,1
1993,4,50,54,"8c",NA,NA
1994,4,50,54,"8c",NA,NA
1995,4,50,54,"8c",0,1
1996,4,50,54,"8c",0,1
1997,4,50,54,"8c",0,1
1998,4,50,54,"8c",0,1
1999,4,50,54,"8c",0,1
2000,4,50,54,"8c",0,1
2001,4,50,54,"8c",0,1
2002,4,50,54,"8c",0,1
2003,4,50,54,"8c",0,1
2004,4,50,54,"8c",0,1
2005,4,50,54,"8c",0,1
2006,4,50,54,"8c",0,1
2007,4,50,54,"8c",0,1
2008,4,50,54,"8c",0,1
2009,4,50,54,"8c",0.04,0.96
2010,4,50,54,"8c",0,1
2011,4,50,54,"8c",0.318,0.682
2012,4,50,54,"8c",0,1
2013,4,50,54,"8c",0,1
2014,4,50,54,"8c",0,1
2015,4,50,54,"8c",0,1
2016,4,50,54,"8c",0,1
2017,4,50,54,"8c",0,1
2018,4,50,54,"8c",0,1
2019,4,50,54,"8c",0,1
1993,4,55,59,"8c",NA,NA
1994,4,55,59,"8c",0,1
1995,4,55,59,"8c",0,1
1996,4,55,59,"8c",0,1
1997,4,55,59,"8c",NA,NA
1998,4,55,59,"8c",0,1
1999,4,55,59,"8c",0,1
2000,4,55,59,"8c",0,1
2001,4,55,59,"8c",NA,NA
2002,4,55,59,"8c",NA,NA
2003,4,55,59,"8c",0,1
2004,4,55,59,"8c",NA,NA
2005,4,55,59,"8c",0,1
2006,4,55,59,"8c",0,1
2007,4,55,59,"8c",0,1
2008,4,55,59,"8c",0,1
2009,4,55,59,"8c",0,1
2010,4,55,59,"8c",0,1
2011,4,55,59,"8c",0,1
2012,4,55,59,"8c",0,1
2013,4,55,59,"8c",0,1
2014,4,55,59,"8c",0,1
2015,4,55,59,"8c",NA,NA
2016,4,55,59,"8c",NA,NA
2017,4,55,59,"8c",NA,NA
2018,4,55,59,"8c",0,1
2019,4,55,59,"8c",NA,NA
