"","year","seas","index","obs","se"
"1",1982,8.5,"SpGFS",NA,NA
"2",1983,8.5,"SpGFS",7.04,0.65
"3",1984,8.5,"SpGFS",6.33,0.6
"4",1985,8.5,"SpGFS",3.83,0.39
"5",1986,8.5,"SpGFS",4.16,0.5
"6",1987,8.5,"SpGFS",NA,NA
"7",1988,8.5,"SpGFS",5.59,0.69
"8",1989,8.5,"SpGFS",7.14,0.75
"9",1990,8.5,"SpGFS",3.34,0.32
"10",1991,8.5,"SpGFS",3.37,0.39
"11",1992,8.5,"SpGFS",2.14,0.19
"12",1993,8.5,"SpGFS",2.49,0.21
"13",1994,8.5,"SpGFS",3.98,0.33
"14",1995,8.5,"SpGFS",4.58,0.44
"15",1996,8.5,"SpGFS",6.54,0.59
"16",1997,8.5,"SpGFS",7.27,0.78
"17",1998,8.5,"SpGFS",3.36,0.28
"18",1999,8.5,"SpGFS",3.35,0.25
"19",2000,8.5,"SpGFS",3.01,0.43
"20",2001,8.5,"SpGFS",1.73,0.29
"21",2002,8.5,"SpGFS",1.91,0.23
"22",2003,8.5,"SpGFS",2.61,0.27
"23",2004,8.5,"SpGFS",3.94,0.4
"24",2005,8.5,"SpGFS",6.46,0.53
"25",2006,8.5,"SpGFS",5.5,0.389
"26",2007,8.5,"SpGFS",4.97,0.43
"27",2008,8.5,"SpGFS",4.93,0.46
"28",2009,8.5,"SpGFS",9.32,0.936
"29",2010,8.5,"SpGFS",8.36,0.653
"30",2011,8.5,"SpGFS",8.98,0.68
"31",2012,8.5,"SpGFS",8.44,0.748
"32",2013,8.5,"SpGFS",5.59,0.776
"33",2014,8.5,"SpGFS",3.72,0.44
"34",2015,8.5,"SpGFS",9.87,0.85
"35",2016,8.5,"SpGFS",7.67,0.65
"36",2017,8.5,"SpGFS",6.58,0.57
"37",2018,8.5,"SpGFS",6.48,0.52
"38",2019,8.5,"SpGFS",5.71,0.39
"39",2020,8.5,"SpGFS",5.44779512785519,0.467450392663708
"40",2021,8.5,"SpGFS",5.2056579895251,0.527065470701818
"41",2022,8.5,"SpGFS",9.55903511818762,0.758194230140367
"42",2023,8.5,"SpGFS",8.8476584732665,0.755392837470023
"43",1997,8.5,"bioCdSurv",5.281,2.775
"44",1998,8.5,"bioCdSurv",2.657,0.419
"45",1999,8.5,"bioCdSurv",2.714,0.444
"46",2000,8.5,"bioCdSurv",2.032,0.612
"47",2001,8.5,"bioCdSurv",2.568,0.448
"48",2002,8.5,"bioCdSurv",3.386,0.782
"49",2003,8.5,"bioCdSurv",1.612,0.285
"50",2004,8.5,"bioCdSurv",2.722,0.691
"51",2005,8.5,"bioCdSurv",6.675,1.288
"52",2006,8.5,"bioCdSurv",4.985,2.001
"53",2007,8.5,"bioCdSurv",6.924,1.432
"54",2008,8.5,"bioCdSurv",4.33,0.6
"55",2009,8.5,"bioCdSurv",7.35,0.97
"56",2010,8.5,"bioCdSurv",5.82,0.83
"57",2011,8.5,"bioCdSurv",2.97,0.38
"58",2012,8.5,"bioCdSurv",5.38,0.9
"59",2013,8.5,"bioCdSurv",12.516,2.04
"60",2014,8.5,"bioCdSurv",9.33,1.38
"61",2015,8.5,"bioCdSurv",13.57,2.61
"62",2016,8.5,"bioCdSurv",5.9,0.92
"63",2017,8.5,"bioCdSurv",4.743,0.89
"64",2018,8.5,"bioCdSurv",8,1.22
"65",2019,8.5,"bioCdSurv",8.03,1.77
"66",2020,8.5,"bioCdSurv",4.54327998590249,0.634951563891452
"67",2022,8.5,"bioCdSurv",5.43591927611296,1.10963990472344
"68",2023,8.5,"bioCdSurv",7.19236716830069,2.48028164030464
"69",1985,8.5,"PtGFS",10.97,0.748
"70",1986,8.5,"PtGFS",17.7,1.233
"71",1987,8.5,"PtGFS",8.61,0.878
"72",1988,8.5,"PtGFS",15.33,1.683
"73",1989,8.5,"PtGFS",8.39,0.537
"74",1990,8.5,"PtGFS",11.79,0.959
"75",1991,8.5,"PtGFS",20.94,4.327
"76",1992,8.5,"PtGFS",11.71,1.677
"77",1993,8.5,"PtGFS",5.54,0.797
"78",1994,8.5,"PtGFS",9.86,1.049
"79",1995,8.5,"PtGFS",14.8,1.686
"80",1996,8.5,"PtGFS",9.24,1.088
"81",1997,8.5,"PtGFS",24.56,9.331
"82",1998,8.5,"PtGFS",15.57,2.03
"83",1999,8.5,"PtGFS",11.62,1.455
"84",2000,8.5,"PtGFS",11.81,1.784
"85",2001,8.5,"PtGFS",15.56,2.752
"86",2002,8.5,"PtGFS",13.01,2.055
"87",2003,8.5,"PtGFS",9.77,1.011
"88",2004,8.5,"PtGFS",18.45,3.33
"89",2005,8.5,"PtGFS",19.02,1.913
"90",2006,8.5,"PtGFS",16.54,1.816
"91",2007,8.5,"PtGFS",25.84,2.789
"92",2008,8.5,"PtGFS",34.6,4.254
"93",2009,8.5,"PtGFS",37.47,4.363
"94",2010,8.5,"PtGFS",38.2,4.34
"95",2011,8.5,"PtGFS",18.72,1.472
"96",2013,8.5,"PtGFS",35.2,3.4
"97",2014,8.5,"PtGFS",17.1,1.5
"98",2015,8.5,"PtGFS",37.2,4.3
"99",2016,8.5,"PtGFS",17.9871851824661,3.37493985612514
"100",2017,8.5,"PtGFS",19.7,2.6
"101",2018,8.5,"PtGFS",24.0082372708142,4.68521760796374
"102",2021,8.5,"PtGFS",21.275701007965,2.67329910682501
"103",2022,8.5,"PtGFS",20.1747403580662,6.93197787950534
"104",2023,8.5,"PtGFS",22.176230338046,6.75600854591084
"105",2003,6,"SpCPUE_trawlers",0.508756542741791,0.0710551138742881
"106",2004,6,"SpCPUE_trawlers",0.363738497403354,0.0496670724480694
"107",2005,6,"SpCPUE_trawlers",0.557971916090868,0.069968127985141
"108",2006,6,"SpCPUE_trawlers",0.795980518462541,0.104421137610192
"109",2007,6,"SpCPUE_trawlers",0.936476333259889,0.119688475942884
"110",2008,6,"SpCPUE_trawlers",1.00715324521699,0.129968469984631
"111",2009,6,"SpCPUE_trawlers",1.04886309895005,0.13263974992385
"112",2010,6,"SpCPUE_trawlers",1.30412468392486,0.163614909338424
"113",2011,6,"SpCPUE_trawlers",1.48866395597181,0.180033895866806
"114",2012,6,"SpCPUE_trawlers",0.889440087709665,0.108897053073806
"115",2013,6,"SpCPUE_trawlers",1.09042261946296,0.134020275079763
"116",2014,6,"SpCPUE_trawlers",0.911714965218727,0.117008921369562
"117",2015,6,"SpCPUE_trawlers",0.884075955740377,0.109693887934506
"118",2016,6,"SpCPUE_trawlers",1.2006630044926,0.156914985170006
"119",2017,6,"SpCPUE_trawlers",0.881939203146161,0.109339149557607
"120",2018,6,"SpCPUE_trawlers",0.763250161519571,0.104558427699535
"121",2019,6,"SpCPUE_trawlers",1.30900076731762,0.195200318876185
"122",2020,6,"SpCPUE_trawlers",0.74326199787591,0.16787671857525
"123",2021,6,"SpCPUE_trawlers",0.865029360115101,0.119011308889539
"124",2022,6,"SpCPUE_trawlers",0.935683446560971,0.121998404978983
"125",2023,6,"SpCPUE_trawlers",0.765861532571256,0.100280469446712
"126",2009,6,"SpCPUE_volpal",1.14733057202214,0.0942529859817083
"127",2010,6,"SpCPUE_volpal",1.14751668550495,0.094990619305405
"128",2011,6,"SpCPUE_volpal",1.04720713658501,0.0870494687766142
"129",2012,6,"SpCPUE_volpal",0.822327213255694,0.0683053035173855
"130",2013,6,"SpCPUE_volpal",0.83214675843137,0.0706984132493378
"131",2014,6,"SpCPUE_volpal",1.07471734120084,0.0873572803790019
"132",2015,6,"SpCPUE_volpal",0.843828305993406,0.0668207372856396
"133",2016,6,"SpCPUE_volpal",0.886580239736484,0.0708344649809451
"134",2017,6,"SpCPUE_volpal",0.867239886430933,0.0699950225920485
"135",2018,6,"SpCPUE_volpal",0.892205194489984,0.0719397075518454
"136",2019,6,"SpCPUE_volpal",0.796151643900834,0.0686721159838564
"137",2020,6,"SpCPUE_volpal",1.02503862429127,0.0845112547649673
"138",2021,6,"SpCPUE_volpal",0.989240226910302,0.0804842028628
"139",2022,6,"SpCPUE_volpal",0.843889450941454,0.0697121354535645
"140",2023,6,"SpCPUE_volpal",1.2956961479147,0.105309226119006
